Logradouro;Bairro;Preço (R$);Número;Mínimo Área (m²);Máximo Área (m²);Mínimo Quartos;Máximo Quartos;Mínimo Banheiros;Máximo Banheiros;Mínimo Vagas;Máximo Vagas
Rua Antônio Calixto Abrão;Parque Imperial;590.000;63;96;96;2;2;2;2;3;3
Rua Coelho de Carvalho;Alto da Lapa;1.280.000;330;220;220;3;3;4;4;4;4
Rua Faustolo;Lapa;900.000;106;205;205;3;3;1;1;1;1
Rua Gastão da Cunha;Vila Paulista;690.000;324;177;177;3;3;2;2;2;2
Rua Salvador Fiordelisio;Vila Bertioga;599.000;160;77;77;3;3;4;4;2;2
Avenida Lineu de Paula Machado;Jardim Everest;3.600.000;13;700;700;5;5;5;5;10;10
Rua Professor Wlademir Pereira;Vila São Silvestre;1.300.000;235;190;190;4;4;5;5;3;3
Rua Nossa Senhora do Pilar;Jardim Trussardi;690.000;0;100;100;3;3;3;3;2;2
Rua Antistenes;Jardim São Jorge;345.000;121;75;75;2;2;1;1;2;2
Rua Escobar Ortiz;Vila Nova Conceição;5.300.000;50;200;200;3;3;4;4;6;6
Rua Jairo de Almeida Machado;Jaraguá;395.000;253;65;65;3;3;2;2;2;2
Rua Antilhas;Jardim América;12.000.000;50;600;600;5;5;6;6;10;10
Rua Godofredo Braga;Vila Fachini;379.000;39;126;126;2;2;2;2;3;3
Rua Radiantes;Jardim Leonor;4.950.000;37738888;708;708;5;5;6;6;10;10
Avenida Odila;Planalto Paulista;2.300.000;1;309;309;3;3;5;5;2;2
Rua Comandante Ismael Guilherme;Jardim Luzitânia;9.800.000;50;499;499;4;4;5;5;3;3
Rua Professora Altina Maynardi de Araújo;Parque São Domingos;775.000;3;118;118;3;3;4;4;2;2
Rua Pedro de Toledo;Vila Clementino;4.500.000;1900;260;260;2;2;3;3;5;5
Rua Augusto Perroni;Conjunto Residencial Butantã;790.000;247;167;167;2;2;3;3;3;3
Rua Maestro Vasconcelos Chaves;Vila Rui Barbosa;270.000;228;60;60;1;1;1;1;2;2
Rua Berlioz;Alto de Pinheiros;2.300.000;695;658;658;3;3;4;4;4;4
Rua Irmã Clotilde;Vila Formosa;405.000;338;136;136;2;2;1;1;1;1
Rua Olímpia Lemes da Silva;Jardim das Vertentes;700.000;108;150;150;3;3;3;3;2;2
Rua Votuverava;Jardim Guedala;4.499.000;0;736;736;5;5;3;3;12;12
Rua Lactâncio;Vila Nova Curuçá;900.000;537;254;254;2;2;1;1;6;6
Avenida Benjamim Mansur;Instituto de Previdência;870.000;26;126;126;3;3;2;2;2;2
Rua Sibipiruna;Parque dos Príncipes;5.000.000;466;720;720;3;3;3;3;6;6
Rua Evaristo da Veiga;Catumbi;749.000;81;125;125;2;2;3;3;2;2
Rua Tucuna;Pompeia;2.300.000;250;340;340;3;3;3;3;8;8
Rua Inocêncio Nogueira;Cidade Jardim;4.800.000;0;659;659;5;5;5;5;8;8
Avenida Professor José Maria Alkmin;Jardim Ester;650.000;0;150;150;3;3;2;2;3;3
Largo da Batalha;Jardim Luzitânia;5.250.000;42;300;300;3;3;4;4;3;3
Rua Alessandro Araldi;Jardim dos Pinheiros;820.000;109;179;179;3;3;4;4;3;3
Rua Almerindo Alziro Paganini;Jardim Popular;425.000;359;104;104;2;2;2;2;2;2
Rua José Alencar Castelo Branco;Siciliano;1.100.000;103;130;130;3;3;3;3;3;3
Rua Doutor João Maia;Aclimação;2.200.000;183;311;311;4;4;6;6;3;3
Rua dos Franceses;Morro dos Ingleses;1.150.000;44;236;236;3;3;1;1;4;4
Rua Belarmino Barreto;Vila Fachini;370.000;52;95;95;2;2;2;2;2;2
Rua Doutor Domingos de Sylos;Brooklin;800.000;55;144;144;3;3;4;4;2;2
Rua Francisco Carvalho Henriques;Lar São Paulo;1.300.000;146;253;253;3;3;6;6;6;6
Rua Doutor Cristiano de Sousa;Jardim Leonor;1.300.000;140;341;341;4;4;4;4;4;4
Rua Umberto Corradi;Vila Gomes Cardim;2.300.000;68;600;600;4;4;7;7;4;4
Rua Coronel Bento Noronha;Jardim Paulistano;14.000.000;50;934;934;5;5;8;8;7;7
Rua Almirante Pereira Guimarães;Pacaembu;2.200.000;0;457;457;4;4;2;2;7;7
Rua Doutor Odon Carlos de Figueiredo Ferraz;Parque São Domingos;1.350.000;1054;305;305;4;4;6;6;5;5
Rua Doutor João Dalmácio Azevedo;Cidade Jardim;8.400.000;81;900;900;4;4;6;6;8;8
Rua Giácomo Carissimi;Vila Adalgisa;580.000;178;120;120;3;3;2;2;2;2
Rua Luís da Silva Araújo;Jardim Leonor Mendes de Barros;1.090.000;94;287;287;4;4;6;6;6;6
Rua General Calado;Vila Regente Feijó;900.000;192;194;194;4;4;4;4;2;2
Rua Angatuba;Pacaembu;10.000.000;519;687;687;4;4;6;6;4;4
Rua Doutor João Vieira Neves;Jardim Esmeralda;550.000;125;140;140;3;3;2;2;3;3
Rua Geremia Lunardelli;Jardim Peri Peri;900.000;382;200;200;3;3;5;5;4;4
Rua General Pereira da Cunha;Retiro Morumbi;19.000.000;505;2200;2200;6;6;6;6;12;12
Rua Laplace;Brooklin;2.800.000;962;634;634;5;5;4;4;4;4
Rua Pedro Inácio de Araújo;Vila São Silvestre;590.000;202;98;98;2;2;1;1;2;2
Rua Maria Celina;Vila Firmiano Pinto;799.000;73;140;140;3;3;3;3;2;2
Rua Milton Soares;Jardim Sarah;350.000;91;100;100;2;2;2;2;2;2
Rua Orozimbo Maia;Alto da Mooca;2.000.000;171;220;220;6;6;7;7;6;6
Travessa Nicolas Jancu;Jardim Virginia Bianca;1.684.000;0;367;367;3;3;4;4;4;4
Rua João Cordeiro;Vila Carrão;1.580.000;0;480;480;4;4;10;10;4;4
Rua México;Jardim América;30.000.000;50;581;581;3;3;3;3;20;20
Rua Bartolomeu Rampini;Parque Maria Fernandes;300.000;111;200;200;4;4;1;1;1;1
Rua David Ben Gurion;Jardim Monte Kemel;900.000;955;179;179;4;4;5;5;4;4
Rua Eva Bloch;Bosque da Saúde;1.802.000;11;150;150;4;4;3;3;4;4
Rua Rubem de Souza;Vila Inglesa;1.400.000;36;390;390;3;3;2;2;3;3
Rua André Rebouças;Vila Piauí;400.000;0;75;75;2;2;2;2;1;1
Rua Porto Rico;Jardim América;20.200.000;48;701;701;4;4;4;4;6;6
Avenida Eugênio Bartolomai;Jardim Santa Helena;1.290.000;193;290;290;3;3;3;3;4;4
Rua Ribeiro do Vale;Brooklin Paulista;1.590.000;0;250;250;3;3;4;4;3;3
Rua Sanharó;Jardim Guedala;1.700.000;0;286;286;2;2;4;4;4;4
Rua Alemanha;Jardim Europa;7.700.000;50;550;550;3;3;4;4;4;4
Rua Áurea Batista dos Santos;Vila Morse;850.000;926;240;240;3;3;3;3;2;2
Rua Saclara;Vila Industrial;280.000;0;90;90;3;3;3;3;3;3
Rua Noruega;Jardim Europa;15.000.000;0;878;878;4;4;8;8;8;8
Rua D'Ouro;Jardim Luzitânia;7.980.000;50;415;415;3;3;5;5;8;8
Rua da Cipaúba;Vila São Domingos;480.000;178;140;140;3;3;3;3;2;2
Rua General Almério de Moura;Vila Tramontano;2.750.000;0;600;600;3;3;4;4;6;6
Rua Manoel Pires do Valle;Vila Domitila;549.000;146;170;170;3;3;2;2;3;3
Rua Jacinto Ribeiro;Jardim das Vertentes;640.000;54;264;264;4;4;3;3;2;2
Rua Moura Brasil;Butantã;1.600.000;0;450;450;3;3;3;3;4;4
Rua Manuel Silva Neto;Vila Macedópolis;740.000;231;210;210;4;4;2;2;3;3
Rua Francisco Santo Suosso;Educandário;372.000;0;135;135;2;2;2;2;1;1
Rua Almirante Lobo;Ipiranga;530.000;16;125;125;3;3;2;2;1;1
Rua Chamantá;Vila Prudente;800.000;5558;240;240;3;3;3;3;3;3
Rua Portugal;Jardim Europa;16.000.000;113;693;693;4;4;4;4;6;6
Rua Primavera;Jardim Paulista;5.500.000;78;665;665;4;4;3;3;6;6
Avenida Ireré;Planalto Paulista;2.500.000;538;356;356;4;4;5;5;4;4
Rua Comendador Roque Licciardi;Jardim das Vertentes;1.200.000;0;200;200;3;3;4;4;7;7
Rua Angá;Vila Formosa;957.000;598;234;234;2;2;2;2;1;1
Rua Araporã;Vila Polopoli;419.000;162;61;61;2;2;2;2;2;2
Rua Vicente Pelosi;Vila Gomes;878.000;36;120;120;3;3;3;3;2;2
Rua Adriano Silva;Parque dos Príncipes;2.450.000;0;445;445;4;4;4;4;8;8
Rua Paulo da Costa Leite;Jardim Riviera;2.800.000;150;260;260;4;4;2;2;4;4
Avenida Água Funda;Vila Guarani (Z Sul);784.000;182;250;250;6;6;5;5;2;2
Rua Berlinghieri;Jardim Dracena;520.000;84;176;176;4;4;4;4;3;3
Rua Terra Branca;Vila Paranaguá;300.004;54;90;90;2;2;1;1;1;1
Rua Orestes Colombari;Jardim Cláudia;380.000;35;85;85;2;2;2;2;3;3
Rua José Piragibe;Vila Indiana;720.000;340;91;91;2;2;2;2;1;1
Rua Francisco de Assis Araújo;Jardim Ubirajara;509.000;79;98;98;3;3;2;2;3;3
Rua Palmeira D'Oeste;Chácara Belenzinho;515.000;70;300;300;5;5;4;4;4;4
Rua Galeno de Almeida;Pinheiros;1.399.000;309;110;110;3;3;3;3;2;2
Rua Madalena;Vila Madalena;3.300.000;580;488;488;4;4;5;5;3;3
Rua Tenente Henrique Gil Neto;Vila Mariana;1.380.000;30;180;180;3;3;2;2;3;3
Rua Pascoal Gomes de Lima;Tremembé;531.000;87;100;100;3;3;2;2;6;6
Rua Pedro Nascimento Ferrador;Vila Prudente;760.000;483;125;125;3;3;3;3;2;2
Rua Rodrigues Guião;Pinheiros;2.000.000;146;130;130;3;3;3;3;1;1
Rua Luiz da Silva Leite;Vila Olinda;550.000;93;265;265;3;3;3;3;2;2
Rua Bernard de Soissons;Jardim das Vertentes;745.000;112;200;200;3;3;4;4;2;2
Rua Francisco Lages;Vila Antônio;500.000;53;90;90;2;2;1;1;2;2
Rua Clodomiro Furquim de Almeida;Jardim Tietê;380.000;163;120;120;3;3;3;3;2;2
Rua Corumbiara;Pinheiros;850.000;4;82;82;1;1;2;2;1;1
Alameda Jaú;Jardim Paulista;11.990.000;320;795;795;3;3;7;7;6;6
Rua Cristóvão Camargo;Vila Araguaia;429.999;200;135;135;3;3;1;1;1;1
Rua Parque da Fonte;Barro Branco (Zona Norte);3.780.000;0;600;600;4;4;6;6;8;8
Rua Manoel Alves de Azevedo;Jardim São Luís;575.000;125;260;260;5;5;4;4;6;6
Rua Ministro Apolônio Salles;Jardim Tietê;550.000;653;180;180;3;3;2;2;2;2
Rua Manuel Correia de Paiva;Vila Marari;600.000;168;158;158;3;3;4;4;2;2
Rua Júlio Verne;Jardim Hípico;2.190.000;258;288;288;4;4;4;4;2;2
Rua Fernando Caldas;Rolinópolis;900.000;431;190;190;3;3;3;3;3;3
Rua Luís Pereira de Almeida;Jardins;2.700.000;72;400;400;4;4;3;3;5;5
Rua Duque de Caxias;Santo Amaro;2.549.800;244;337;337;4;4;6;6;3;3
Rua Deolinda de Oliveira;Vila das Mercês;540.000;77;138;138;3;3;2;2;3;3
Rua Doutor Abelardo Vergueiro César;Vila Alexandria;630.000;432;90;90;4;4;4;4;2;2
Rua Elias Acras;Jardim Celeste;1.200.000;0;200;200;4;4;6;6;6;6
Rua Dom Luís de Bragança;Mirandópolis;1.150.000;394;103;103;4;4;3;3;2;2
Rua Padre Bento Ibañez;Jardim Prudência;367.929;60;130;130;2;2;1;1;1;1
Avenida das Magnólias;Cidade Jardim;1.378.000;0;366;366;4;4;5;5;4;4
Rua Estados Unidos;Jardim Paulista;4.600.000;50;400;400;6;6;6;6;6;6
Rua Ferdinando Frantz;Vila do Castelo;585.000;235;130;130;3;3;5;5;3;3
Rua Kansas;Itaim Bibi;2.500.000;549;335;335;4;4;4;4;4;4
Rua Bartolomeu Pagano;Vila Dorna;850.000;28;560;560;4;4;6;6;8;8
Rua José Vicente Ferreira;Engenheiro Goulart;690.000;171;148;148;3;3;4;4;4;4
Rua Luís Carlos Paraná;Jardim Cidália;750.000;284;180;180;3;3;2;2;4;4
Rua Porto Sabaúna;Vila Alpina;800.000;298;200;200;3;3;2;2;6;6
Rua Pau Brasil;Boaçava;5.000.000;640;500;500;4;4;4;4;4;4
Rua Emílio Mallet;Vila Gomes Cardim;650.000;450;100;100;3;3;2;2;2;2
Rua Major Freire;Vila Monte Alegre;970.000;567;211;211;4;4;3;3;5;5
Rua Cabedelo;Vila Inah;2.000.000;0;300;300;4;4;2;2;4;4
Rua Guadelupe;Jardim América;14.000.000;222;753;753;4;4;5;5;6;6
Rua República do Iraque;Campo Belo;2.690.000;236;400;400;5;5;6;6;10;10
Rua André Saraiva;Vila Sônia;600.000;0;290;290;3;3;4;4;4;4
Rua Engenheiro José Sá Rocha;Vila Mariana;3.800.000;243;490;490;4;4;5;5;6;6
Rua Panônia;Jardim Colombo;730.000;92;140;140;3;3;2;2;2;2
Rua Enjolras Vampre;Jardim da Saúde;2.120.000;95;360;360;4;4;4;4;10;10
Rua Alfa;Sacomã;810.000;0;270;270;3;3;4;4;4;4
Rua Lourenço Cândido de Siqueira;Jardim Arize;315.000;222;120;120;2;2;2;2;3;3
Avenida Visconde do Rio Grande;Jardim São José;213.850;374;62;62;1;1;1;1;1;1
Rua Ibirá;Vila Bertioga;950.000;0;165;165;3;3;2;2;3;3
Rua José da Veiga Vale;Parque São Domingos;398.000;26;90;90;2;2;1;1;1;1
Rua Cocais;Jardim Oriental;470.000;150;120;120;2;2;1;1;3;3
Rua Capitão Rangel;Vila São Geraldo;750.000;222;120;120;2;2;1;1;1;1
Rua Joaquim Figueira;Vila Formosa;950.000;11;114;114;3;3;1;1;1;1
Rua Araripina;Jardim Guedala;5.500.000;180;448;448;3;3;5;5;4;4
Rua Iraci;Jardim Paulistano;2.600.000;668;240;240;3;3;5;5;3;3
Rua Sebastião Rodrigues;Alto de Pinheiros;2.150.000;302;145;145;3;3;2;2;2;2
Avenida General Leite de Castro;Jardim Santa Cruz (Sacomã);560.000;379;172;172;3;3;3;3;4;4
Rua Monte Caseros;Vila Gomes;750.000;0;180;180;3;3;3;3;3;3
Rua Marcílio de Sá;Jardim das Vertentes;850.000;35;150;150;3;3;4;4;3;3
Rua Augusto Farina;Jardim Bonfiglioli;850.000;0;175;175;4;4;5;5;4;4
Rua Marie Satzke;Vila Campo Grande;2.250.000;115;560;560;4;4;4;4;8;8
Rua João Lopes de Amorim;Vila Nova Cachoeirinha;520.000;405;230;230;3;3;5;5;3;3
Rua Conseguina;Jardim Guedala;3.200.000;53;742;742;4;4;5;5;6;6
Rua Rosa Mística;Vila Campestre;530.000;151;125;125;3;3;4;4;2;2
Rua També;Jardim Guedala;8.000.000;37738888;544;544;4;4;9;9;10;10
Rua Maria de Lourdes Vital da Silva;Chácara Japonesa;1.490.000;120;181;181;3;3;5;5;4;4
Rua Guaonés;Jardim Guedala;4.750.000;1;960;960;4;4;8;8;10;10
Rua Artemis;Vila Babilônia;550.000;194;167;167;4;4;4;4;2;2
Rua Planeta;Chácara Belenzinho;490.000;1;120;120;2;2;2;2;2;2
Rua Ângelo de Cândia;Cidade São Mateus;500.000;343;175;175;3;3;3;3;2;2
Rua Natingui;Vila Madalena;2.900.000;96;400;400;4;4;5;5;8;8
Rua Luís Ferreira de Barros;Vila Universitária;560.000;12;214;214;3;3;3;3;6;6
Rua Doutor Manuel Carlos de Figueiredo Ferraz;Jardim Morumbi;1.950.000;185;450;450;4;4;5;5;7;7
Rua José Flávio;Penha de França;352.950;187;205;205;1;1;1;1;1;1
Rua Tomaz da Mota;Jardim Pinheiros;725.000;0;140;140;3;3;4;4;2;2
Rua Guaianaz da Fonseca;Vila Madalena;1.790.000;28;220;220;3;3;5;5;4;4
Rua Martins;Butantã;1.350.000;386;290;290;3;3;1;1;5;5
Rua Baronesa de Bela Vista;Vila Congonhas;2.000.000;138;290;290;4;4;4;4;4;4
Rua Iguaçaba;Chácara Belenzinho;450.000;163;80;80;2;2;1;1;2;2
Rua Breno Pinheiro;Jardim Morumbi;950.000;135;273;273;3;3;4;4;5;5
Rua Grécia;Jardim Europa;4.800.000;23;280;280;3;3;2;2;3;3
Rua Doutor Astor Dias Guimarães;Jardim Bonfiglioli;680.000;0;70;70;2;2;2;2;1;1
Rua Dentista Barreto;Vila Carrão;8.000.000;318;1050;1050;7;7;9;9;7;7
Rua Robélia;Jardim Prudência;1.300.000;149;300;300;4;4;6;6;4;4
Rua Simões Pinto;Parque Jabaquara;650.000;48;200;200;3;3;1;1;2;2
Rua Manoel Carneiro Silva;Bosque da Saúde;1.100.000;162;160;160;3;3;2;2;4;4
Rua Ubaíra;Indianópolis;2.000.000;32;200;200;4;4;2;2;4;4
Rua Cachoeira Escura;Jardim Triana;790.004;121;150;150;3;3;5;5;3;3
Rua Catuquina;Vila Formosa;233.376;55;130;130;1;1;1;1;1;1
Rua Pirajuia;Jaguaré;700.000;0;230;230;4;4;4;4;4;4
Rua João Gomes Pereira;Jardim Tietê;350.000;1159;120;120;3;3;2;2;2;2
Rua Avaré;Consolação;3.195.980;428;452;452;5;5;6;6;6;6
Rua João Gaspar;Jardim São Luís;480.000;850;128;128;2;2;1;1;1;1
Rua João Batista Pereira;Jardim Pinheiros;750.000;0;140;140;3;3;4;4;3;3
Rua Pedro Ravara;Jardim Ipanema (Zona Oeste);1.340.000;30;710;710;5;5;3;3;6;6
Rua Alberto Hodge;Santo Amaro;1.100.000;932;140;140;3;3;4;4;2;2
Rua General Sócrates;Penha de França;1.150.000;78;250;250;3;3;2;2;1;1
Rua Ordenações Manuelinas;Vila Sonia;785.005;49;158;158;3;3;3;3;3;3
Rua Ouvidor Peleja;Vila Mariana;1.200.000;780;160;160;1;1;2;2;2;2
Rua Tomé de Souza;Lapa;3.300.000;606;700;700;4;4;6;6;6;6
Rua Olímpio de Campos;Jardim Vila Formosa;732.000;118;200;200;4;4;3;3;2;2
Rua Endê;Vila Madalena;6.180.000;66;404;404;3;3;4;4;6;6
Rua Guateque;Jardim Avenida;328.000;98;155;155;2;2;1;1;2;2
Rua Pirandello;Campo Belo;1.750.000;785;450;450;3;3;5;5;3;3
Rua Evaristo Pereira Escorsa;Vila Antonieta;420.013;385;86;86;2;2;2;2;1;1
Rua Luís Antônio dos Santos;Santa Teresinha;950.000;605;240;240;4;4;3;3;3;3
Rua Santo Estácio;Cidade Vargas;698.000;404;150;150;2;2;2;2;1;1
Rua Doutor Cintra Gordinho;Alto da Lapa;1.500.000;0;270;270;2;2;2;2;1;1
Rua José Clemente;Jardim Paulista;3.998.000;221;390;390;4;4;2;2;9;9
Rua Nelson de Godói Pereira;Vila Santo Estevão;750.000;150;138;138;3;3;2;2;2;2
Rua Maurício de Castilho;Vila Monumento;1.100.000;406;205;205;5;5;4;4;4;4
Rua Território do Iguaçu;Jabaquara;750.000;89;220;220;4;4;3;3;6;6
Rua Itaguara;Cidade Vargas;1.300.000;100;400;400;6;6;5;5;4;4
Rua Miguel Langone;Itaquera;360.000;383;270;270;3;3;2;2;2;2
Rua Atibaia;Pacaembu;3.600.000;100;570;570;3;3;6;6;6;6
Avenida Professor João de Lorenzo;Jardim São Jorge (Raposo Tavares);335.004;369;62;62;2;2;1;1;2;2
Avenida Albert Einstein;Jardim Leonor;1.682.000;1009;450;450;4;4;5;5;4;4
Rua Rudi Schaly;Vila Fiat Lux;957.000;175;250;250;3;3;6;6;4;4
Avenida Raimundo Pereira de Magalhães;Jardim Íris;980.000;4123;280;280;4;4;3;3;4;4
Rua Virgílio de Barros Toledo;Jardim D'Abril;350.000;29;120;120;3;3;2;2;5;5
Rua Tibiriçá;Brooklin Paulista;1.730.000;100;260;260;3;3;4;4;3;3
Rodovia Raposo Tavares;Jardim Boa Vista (Zona Oeste);630.000;615;220;220;3;3;2;2;2;2
Rua Orlando Malagoli;Rio Pequeno;260.000;77;80;80;2;2;2;2;1;1
Alameda dos Auetis;Planalto Paulista;2.300.000;300;390;390;4;4;4;4;5;5
Rua Moncorvo Filho;Butantã;2.690.000;297;380;380;6;6;3;3;5;5
Rua José Renato Pantoja;Lar São Paulo;1.484.000;0;240;240;3;3;4;4;2;2
Rua Cicanta;Jardim Umarizal;954.000;0;210;210;3;3;2;2;2;2
Rua Almirante Soares Dutra;Morumbi;3.800.000;37738888;499;499;4;4;8;8;5;5
Rua José Alves de Almeida;Jardim Celeste;750.000;0;167;167;3;3;2;2;6;6
Rua Manajeru;Vila Isolina Mazzei;740.000;204;120;120;3;3;3;3;2;2
Rua Dona Elisa Pereira de Barros;Jardim Europa;8.500.000;50;707;707;4;4;10;10;6;6
Rua Francisco Gil de Araújo;Jardim Lourdes;400.000;94;200;200;3;3;1;1;2;2
Rua Ponta Porã;Vila Ipojuca;1.100.000;361;252;252;3;3;1;1;3;3
Rua Nilo Torres;Jardim Umuarama;799.000;26;148;148;3;3;3;3;2;2
Rua Holanda;Jardim Europa;13.499.900;192;720;720;5;5;10;10;8;8
Travessa Manoel Theodoro dos Santos;Rio Pequeno;770.000;0;200;200;3;3;2;2;6;6
Rua Martim Pescador;Tatuapé;750.000;124;94;94;2;2;1;1;1;1
Rua Xiririca;Vila Carrão;640.000;0;160;160;3;3;4;4;2;2
Rua Ludovico Ariosto;Cidade dos Bandeirantes;680.000;246;159;159;4;4;4;4;2;2
Rua Tejupá;Vila Babilônia;630.000;52;120;120;3;3;2;2;2;2
Rua Dona Maria Cândida de Lima;Vila Paulo Silas;520.000;133;320;320;5;5;3;3;4;4
Avenida Ouro Verde de Minas;Jardim Imperador (Zona Leste);646.761;1948;292;292;1;1;1;1;4;4
Rua Bertioga;Chácara Inglesa;720.001;493;103;103;2;2;1;1;1;1
Rua Osvaldo Nevola;Jardim Tietê;380.000;637;200;200;4;4;4;4;3;3
Rua Luís Sérgio Person;Parque Mandaqui;398.000;181;139;139;2;2;2;2;2;2
Rua Virgílio de Lemos;Jardim Jabaquara;480.000;195;120;120;2;2;2;2;2;2
Rua Otávio Passos;Vila Gomes;790.000;0;280;280;16;16;3;3;3;3
Rua David Romero Paré;Vila Sonia;780.000;193;300;300;3;3;3;3;4;4
Rua Pistache;Parque dos Príncipes;1.300.000;100;289;289;5;5;3;3;4;4
Rua Orlando Ferraiuolo;Vila Brasilina;689.000;428;250;250;3;3;3;3;4;4
Rua João de Santa Maria;Vila Brasilina;1.280.000;687;184;184;4;4;6;6;3;3
Rua Nova York;Brooklin Paulista;2.400.000;0;350;350;4;4;3;3;3;3
Rua Flor da Redenção;Vila Jacuí;300.000;277;110;110;3;3;2;2;2;2
Rua Maria José Rangel;Vila São Paulo;385.001;271;69;69;2;2;1;1;1;1
Rua Antônio Gebara;Planalto Paulista;1.480.000;1000;238;238;3;3;5;5;4;4
Rua Vitor Costa;Bosque da Saúde;1.600.000;677;237;237;3;3;3;3;4;4
Rua Carlos Baptista de Magalhães;Jardim Prudência;3.200.000;0;800;800;4;4;5;5;4;4
Rua Salvador de Edra;Saúde;1.100.000;50;216;216;3;3;3;3;2;2
Rua Saldanha da Gama;Alto da Lapa;1.695.000;100;219;219;5;5;8;8;6;6
Rua José Santana;Vila Reis;320.004;480;66;66;2;2;1;1;2;2
Rua Doutor Sarmento;Jardim Luzitânia;20.000.000;22;1050;1050;5;5;7;7;10;10
Rua José Joaquim Esteves;Jardim São Luís;650.000;645;115;115;3;3;2;2;3;3
Avenida Antônio de Souza Noschese;Parque Continental;990.000;996;201;201;3;3;5;5;3;3
Rua Venceslau Flexa;Jardim Paulistano;3.500.001;226;486;486;4;4;2;2;6;6
Rua Cardeal Cagliori;Alto de Pinheiros;3.500.000;1;400;400;4;4;5;5;7;7
Rua General Gaudie Ley;Interlagos;1.500.000;218;430;430;4;4;3;3;6;6
Rua Doutor Roberto Mercatelli;Barra Funda;639.001;72;87;87;3;3;2;2;1;1
Rua Barão de Tramandaí;Vila Alpina;270.000;0;117;117;3;3;2;2;2;2
